ID	xTB_EA	xTB_IP	xTB_Opticalgap	DFT_IP	DFT_EA	TDDFT_opticalgap	2_IP_cal	2_EA_cal	2_xTB_Og_cal	A	A_EA	A_IP	A_opticalgap	A_osc_strength	B	B_EA	B_IP	B_opticalgap	B_osc_strength	C	C_EA	C_IP	C_opticalgap	C_osc_strength	Smiles	TDDFT_A	A_DFT_IP	A_DFT_EA	V_oc_PN1
27300	-2.6082	-4.4033	2.459	-4.152898697237418	-1.8901030692878795	2.0283	-4.278856131904351	-1.8890090389704632	2.443240929421618	Brc1cc2[nH]c3cc(Br)[nH]c3c2[nH]1	-0.7048	-5.4318	4.613	0.0116	Brc1cc2[nH]c3cc(Br)[nH]c3c2[nH]1	-0.7048	-5.4318	4.613	0.0116	O=c1[nH]c(Br)c2c(=O)[nH]c(Br)c12	-2.5304	-6.9624	3.338	0.4055	O=C1NC(c2cc3[nH]c4cc(-c5cc6[nH]c7cc[nH]c7c6[nH]5)[nH]c4c3[nH]2)=C2C(=O)NC(c3cc4[nH]c5cc(-c6cc7[nH]c8cc[nH]c8c7[nH]6)[nH]c5c4[nH]3)=C12	4.8799	-5.188092294899902	1.0492264723054203	0.12885703663214904
27167	-3.3847	-4.894	2.171				-4.687204560364386	-2.5713867614166546	2.0669601652257854	Brc1cc2[nH]c3cc(Br)[nH]c3c2[nH]1	-0.7048	-5.4318	4.613	0.0116	Brc1oc(Br)c2cnccc12	-1.5233	-6.8063	3.641	0.191	O=c1[nH]c(Br)c2c(=O)[nH]c(Br)c12	-2.5304	-6.9624	3.338	0.4055	O=C1NC(c2oc(-c3cc4[nH]c5cc[nH]c5c4[nH]3)c3ccncc23)=C2C(=O)NC(c3oc(-c4cc5[nH]c6cc[nH]c6c5[nH]4)c4ccncc34)=C12	4.8799	-5.188092294899902	1.0492264723054203	0.5372063265563147
27286	-3.6227	-5.0427	2.481				-4.810949030125967	-2.7805379500093057	2.4719845989087994	Brc1cc2[nH]c3cc(Br)[nH]c3c2[nH]1	-0.7048	-5.4318	4.613	0.0116	Brc1ccnc2c(Br)cccc12	-1.7876	-7.2776	4.3660000000000005	0.037000000000000005	O=c1[nH]c(Br)c2c(=O)[nH]c(Br)c12	-2.5304	-6.9624	3.338	0.4055	O=C1NC(c2ccnc3c(-c4cc5[nH]c6cc[nH]c6c5[nH]4)cccc23)=C2C(=O)NC(c3ccnc4c(-c5cc6[nH]c7cc[nH]c7c6[nH]5)cccc34)=C12	4.8799	-5.188092294899902	1.0492264723054203	0.660951057372952
27179	-3.5117	-4.9962	2.5980000000000003				-4.772252877846791	-2.6829926477665147	2.6248486593633573	Brc1cc2[nH]c3cc(Br)[nH]c3c2[nH]1	-0.7048	-5.4318	4.613	0.0116	Brc1ccc2c(ccc3nc(Br)ccc32)c1	-1.8599	-6.8819	3.991	0.0306	O=c1[nH]c(Br)c2c(=O)[nH]c(Br)c12	-2.5304	-6.9624	3.338	0.4055	O=C1NC(c2ccc3c(ccc4cc(-c5cc6[nH]c7cc[nH]c7c6[nH]5)ccc43)n2)=C2C(=O)NC(c3ccc4c(ccc5cc(-c6cc7[nH]c8cc[nH]c8c7[nH]6)ccc54)n3)=C12	4.8799	-5.188092294899902	1.0492264723054203	0.6222548234592082
27282	-3.729	-5.1751	2.5				-4.921129042206889	-2.8739529556706453	2.496808677102275	Brc1cc2[nH]c3cc(Br)[nH]c3c2[nH]1	-0.7048	-5.4318	4.613	0.0116	Brc1cnc2nc(Br)ccc2c1	-2.1715	-7.3316	4.489	0.152	O=c1[nH]c(Br)c2c(=O)[nH]c(Br)c12	-2.5304	-6.9624	3.338	0.4055	O=C1NC(c2ccc3cc(-c4cc5[nH]c6cc[nH]c6c5[nH]4)cnc3n2)=C2C(=O)NC(c3ccc4cc(-c5cc6[nH]c7cc[nH]c7c6[nH]5)cnc4n3)=C12	4.8799	-5.188092294899902	1.0492264723054203	0.771131301892942
27275	-3.5362	-5.2169	2.44				-4.955913970492256	-2.704522917180464	2.4184168512281428	Brc1cc2[nH]c3cc(Br)[nH]c3c2[nH]1	-0.7048	-5.4318	4.613	0.0116	Brc1ccc(Br)c2cnncc12	-1.8927	-7.4887	4.523	0.0073	O=c1[nH]c(Br)c2c(=O)[nH]c(Br)c12	-2.5304	-6.9624	3.338	0.4055	O=C1NC(c2ccc(-c3cc4[nH]c5cc[nH]c5c4[nH]3)c3cnncc23)=C2C(=O)NC(c3ccc(-c4cc5[nH]c6cc[nH]c6c5[nH]4)c4cnncc34)=C12	4.8799	-5.188092294899902	1.0492264723054203	0.8059163035616403
27160	-3.5304	-5.1861	2.6689999999999996				-4.930282970703039	-2.699425955441652	2.7176123199810798	Brc1cc2[nH]c3cc(Br)[nH]c3c2[nH]1	-0.7048	-5.4318	4.613	0.0116	Brc1cnc2c(ccc3nc(Br)ccc32)c1	-2.0972	-7.2655	4.124	0.0058	O=c1[nH]c(Br)c2c(=O)[nH]c(Br)c12	-2.5304	-6.9624	3.338	0.4055	O=C1NC(c2cnc3c(ccc4nc(-c5cc6[nH]c7cc[nH]c7c6[nH]5)ccc43)c2)=C2C(=O)NC(c3cnc4c(ccc5nc(-c6cc7[nH]c8cc[nH]c8c7[nH]6)ccc54)c3)=C12	4.8799	-5.188092294899902	1.0492264723054203	0.7802852497004946
27248	-3.6217	-5.3477	2.445				-5.0647625020646485	-2.7796591635026147	2.4249495033843207	Brc1cc2[nH]c3cc(Br)[nH]c3c2[nH]1	-0.7048	-5.4318	4.613	0.0116	Brc1nnc(Br)c2ccccc12	-1.8922	-7.4896	4.524	0.0073	O=c1[nH]c(Br)c2c(=O)[nH]c(Br)c12	-2.5304	-6.9624	3.338	0.4055	O=C1NC(c2nnc(-c3cc4[nH]c5cc[nH]c5c4[nH]3)c3ccccc23)=C2C(=O)NC(c3nnc(-c4cc5[nH]c6cc[nH]c6c5[nH]4)c4ccccc34)=C12	4.8799	-5.188092294899902	1.0492264723054203	0.9147650647641699
27240	-3.8871	-5.2652	2.491				-4.996108038343531	-3.012889102378621	2.4850499032211557	Brc1cc2[nH]c3cc(Br)[nH]c3c2[nH]1	-0.7048	-5.4318	4.613	0.0116	Brc1ccnc2cc3c(Br)ccnc3cc12	-2.7175	-6.8827	3.6860000000000004	0.1753	O=c1[nH]c(Br)c2c(=O)[nH]c(Br)c12	-2.5304	-6.9624	3.338	0.4055	O=C1NC(c2ccnc3cc4c(-c5cc6[nH]c7cc[nH]c7c6[nH]5)ccnc4cc23)=C2C(=O)NC(c3ccnc4cc5c(-c6cc7[nH]c8cc[nH]c8c7[nH]6)ccnc5cc34)=C12	4.8799	-5.188092294899902	1.0492264723054203	0.8461104562075294
27204	-3.1524	-4.9783	2.503				-4.757356939657604	-2.3672446559121467	2.500728268395981	Brc1cc2[nH]c3cc(Br)[nH]c3c2[nH]1	-0.7048	-5.4318	4.613	0.0116	Brc1ccc(Br)c2ccccc12	-1.3037	-6.7358	4.276	0.0022	O=c1[nH]c(Br)c2c(=O)[nH]c(Br)c12	-2.5304	-6.9624	3.338	0.4055	O=C1NC(c2ccc(-c3cc4[nH]c5cc[nH]c5c4[nH]3)c3ccccc23)=C2C(=O)NC(c3ccc(-c4cc5[nH]c6cc[nH]c6c5[nH]4)c4ccccc34)=C12	4.8799	-5.188092294899902	1.0492264723054203	0.6073588538451022
27352	-3.5313	-5.2893	2.517				-5.0161634635032755	-2.700216863297674	2.5190196944332786	Brc1cc2[nH]c3cc(Br)[nH]c3c2[nH]1	-0.7048	-5.4318	4.613	0.0116	Brc1cnc(Br)cn1	-1.508	-7.4468	4.177	0.0089	O=c1[nH]c(Br)c2c(=O)[nH]c(Br)c12	-2.5304	-6.9624	3.338	0.4055	O=C1NC(c2cnc(-c3cc4[nH]c5cc[nH]c5c4[nH]3)cn2)=C2C(=O)NC(c3cnc(-c4cc5[nH]c6cc[nH]c6c5[nH]4)cn3)=C12	4.8799	-5.188092294899902	1.0492264723054203	0.8661659236768027
27266	-3.4398	-5.0425	2.285				-4.810782595062402	-2.6198078979353734	2.2159046343866358	Brc1cc2[nH]c3cc(Br)[nH]c3c2[nH]1	-0.7048	-5.4318	4.613	0.0116	Brc1c2ccccc2c(Br)c2ncccc12	-2.4259	-6.4403	3.552	0.1718	O=c1[nH]c(Br)c2c(=O)[nH]c(Br)c12	-2.5304	-6.9624	3.338	0.4055	O=C1NC(c2c3ccccc3c(-c3cc4[nH]c5cc[nH]c5c4[nH]3)c3ncccc23)=C2C(=O)NC(c3c4ccccc4c(-c4cc5[nH]c6cc[nH]c6c5[nH]4)c4ncccc34)=C12	4.8799	-5.188092294899902	1.0492264723054203	0.6607846219582698
27319	-3.2754	-4.8856	2.116				-4.6802142876946	-2.47533539623524	1.995100991507832	Brc1cc2[nH]c3cc(Br)[nH]c3c2[nH]1	-0.7048	-5.4318	4.613	0.0116	Brc1oc(Br)c2ncccc12	-1.6677	-6.9095	3.49	0.14400000000000002	O=c1[nH]c(Br)c2c(=O)[nH]c(Br)c12	-2.5304	-6.9624	3.338	0.4055	O=C1NC(c2oc(-c3cc4[nH]c5cc[nH]c5c4[nH]3)c3cccnc23)=C2C(=O)NC(c3oc(-c4cc5[nH]c6cc[nH]c6c5[nH]4)c4cccnc34)=C12	4.8799	-5.188092294899902	1.0492264723054203	0.5302160391396387
27344	-4.1408	-5.4738	2.1830000000000003				-5.169699809643232	-3.235837239126333	2.0826385304006125	Brc1cc2[nH]c3cc(Br)[nH]c3c2[nH]1	-0.7048	-5.4318	4.613	0.0116	CN1C(=O)C2=C(Br)N(C)C(=O)C2=C1Br	-2.4849	-6.6963	3.2319999999999998	0.4394	O=c1[nH]c(Br)c2c(=O)[nH]c(Br)c12	-2.5304	-6.9624	3.338	0.4055	CN1C(=O)C2=C(c3cc4[nH]c5cc[nH]c5c4[nH]3)N(C)C(=O)C2=C1C1=C2C(=O)NC(C3=C4C(=O)N(C)C(c5cc6[nH]c7cc[nH]c7c6[nH]5)=C4C(=O)N3C)=C2C(=O)N1	4.8799	-5.188092294899902	1.0492264723054203	1.0197025937216544
27226	-3.7139	-5.239	2.391				-4.9743050450163375	-2.8606832794195998	2.354396860097602	Brc1cc2[nH]c3cc(Br)[nH]c3c2[nH]1	-0.7048	-5.4318	4.613	0.0116	Brc1cnc(Br)c2cnccc12	-2.0519	-7.4247	4.333	0.0017	O=c1[nH]c(Br)c2c(=O)[nH]c(Br)c12	-2.5304	-6.9624	3.338	0.4055	O=C1NC(c2ncc(-c3cc4[nH]c5cc[nH]c5c4[nH]3)c3ccncc23)=C2C(=O)NC(c3ncc(-c4cc5[nH]c6cc[nH]c6c5[nH]4)c4ccncc34)=C12	4.8799	-5.188092294899902	1.0492264723054203	0.8243074168840856
27184	-3.6217	-5.0916	2.616				-4.851642403167938	-2.7796591635026147	2.6483662071255964	Brc1cc2[nH]c3cc(Br)[nH]c3c2[nH]1	-0.7048	-5.4318	4.613	0.0116	Brc1cc2ccc3nc(Br)ccc3c2cn1	-2.2129	-7.1629	4.0889999999999995	0.0797	O=c1[nH]c(Br)c2c(=O)[nH]c(Br)c12	-2.5304	-6.9624	3.338	0.4055	O=C1NC(c2ccc3c(ccc4cc(-c5cc6[nH]c7cc[nH]c7c6[nH]5)ncc43)n2)=C2C(=O)NC(c3ccc4c(ccc5cc(-c6cc7[nH]c8cc[nH]c8c7[nH]6)ncc54)n3)=C12	4.8799	-5.188092294899902	1.0492264723054203	0.701644516262887
27345	-3.0015	-4.6665	2.535				-4.497884675557666	-2.2346357720523526	2.5425372421955186	Brc1cc2[nH]c3cc(Br)[nH]c3c2[nH]1	-0.7048	-5.4318	4.613	0.0116	Brc1cc2cc3[nH]c(Br)cc3cc2[nH]1	-0.8159	-5.53	3.9139999999999997	0.1957	O=c1[nH]c(Br)c2c(=O)[nH]c(Br)c12	-2.5304	-6.9624	3.338	0.4055	O=C1NC(c2cc3cc4[nH]c(-c5cc6[nH]c7cc[nH]c7c6[nH]5)cc4cc3[nH]2)=C2C(=O)NC(c3cc4cc5[nH]c(-c6cc7[nH]c8cc[nH]c8c7[nH]6)cc5cc4[nH]3)=C12	4.8799	-5.188092294899902	1.0492264723054203	0.3478860423546691
