ID	xTB_EA	xTB_IP	xTB_Opticalgap	DFT_IP	DFT_EA	TDDFT_opticalgap	2_IP_cal	2_EA_cal	2_xTB_Og_cal	A	A_EA	A_IP	A_opticalgap	A_osc_strength	B	B_EA	B_IP	B_opticalgap	B_osc_strength	C	C_EA	C_IP	C_opticalgap	C_osc_strength	Smiles	TDDFT_A	A_DFT_IP	A_DFT_EA	V_oc_expPC70BM
27167	-3.3847	-4.894	2.171				-4.687204560364386	-2.5713867614166546	2.0669601652257854	Brc1cc2[nH]c3cc(Br)[nH]c3c2[nH]1	-0.7048	-5.4318	4.613	0.0116	Brc1oc(Br)c2cnccc12	-1.5233	-6.8063	3.641	0.191	O=c1[nH]c(Br)c2c(=O)[nH]c(Br)c12	-2.5304	-6.9624	3.338	0.4055	O=C1NC(c2oc(-c3cc4[nH]c5cc[nH]c5c4[nH]3)c3ccncc23)=C2C(=O)NC(c3oc(-c4cc5[nH]c6cc[nH]c6c5[nH]4)c4ccncc34)=C12	4.8799	-5.188092294899902	1.0492264723054203	0.48720622107481065
27319	-3.2754	-4.8856	2.116				-4.6802142876946	-2.47533539623524	1.995100991507832	Brc1cc2[nH]c3cc(Br)[nH]c3c2[nH]1	-0.7048	-5.4318	4.613	0.0116	Brc1oc(Br)c2ncccc12	-1.6677	-6.9095	3.49	0.14400000000000002	O=c1[nH]c(Br)c2c(=O)[nH]c(Br)c12	-2.5304	-6.9624	3.338	0.4055	O=C1NC(c2oc(-c3cc4[nH]c5cc[nH]c5c4[nH]3)c3cccnc23)=C2C(=O)NC(c3oc(-c4cc5[nH]c6cc[nH]c6c5[nH]4)c4cccnc34)=C12	4.8799	-5.188092294899902	1.0492264723054203	0.4802159336581347
27344	-4.1408	-5.4738	2.1830000000000003				-5.169699809643232	-3.235837239126333	2.0826385304006125	Brc1cc2[nH]c3cc(Br)[nH]c3c2[nH]1	-0.7048	-5.4318	4.613	0.0116	CN1C(=O)C2=C(Br)N(C)C(=O)C2=C1Br	-2.4849	-6.6963	3.2319999999999998	0.4394	O=c1[nH]c(Br)c2c(=O)[nH]c(Br)c12	-2.5304	-6.9624	3.338	0.4055	CN1C(=O)C2=C(c3cc4[nH]c5cc[nH]c5c4[nH]3)N(C)C(=O)C2=C1C1=C2C(=O)NC(C3=C4C(=O)N(C)C(c5cc6[nH]c7cc[nH]c7c6[nH]5)=C4C(=O)N3C)=C2C(=O)N1	4.8799	-5.188092294899902	1.0492264723054203	0.9697024882401504
27327	-3.6318	-5.0615	2.083				-4.8265939261012045	-2.788534907220201	1.9519854872770592	Brc1cc2[nH]c3cc(Br)[nH]c3c2[nH]1	-0.7048	-5.4318	4.613	0.0116	Brc1oc(Br)c2nccnc12	-2.3704	-7.2601	3.17	0.0973	O=c1[nH]c(Br)c2c(=O)[nH]c(Br)c12	-2.5304	-6.9624	3.338	0.4055	O=C1NC(c2oc(-c3cc4[nH]c5cc[nH]c5c4[nH]3)c3nccnc23)=C2C(=O)NC(c3oc(-c4cc5[nH]c6cc[nH]c6c5[nH]4)c4nccnc34)=C12	4.8799	-5.188092294899902	1.0492264723054203	0.6265958808716283
27294	-3.76	-5.207999999999998	2.199				-4.948507610163554	-2.901195337378091	2.1035430173003804	Brc1cc2[nH]c3cc(Br)[nH]c3c2[nH]1	-0.7048	-5.4318	4.613	0.0116	Brc1ccc(Br)c2nonc12	-2.4663	-7.8366	3.944	0.1946	O=c1[nH]c(Br)c2c(=O)[nH]c(Br)c12	-2.5304	-6.9624	3.338	0.4055	O=C1NC(c2ccc(-c3cc4[nH]c5cc[nH]c5c4[nH]3)c3nonc23)=C2C(=O)NC(c3ccc(-c4cc5[nH]c6cc[nH]c6c5[nH]4)c4nonc34)=C12	4.8799	-5.188092294899902	1.0492264723054203	0.748509822126753
27200	-3.9584	-5.1586	2.106				-4.907398149462666	-3.0755465803057467	1.982035687195476	Brc1cc2[nH]c3cc(Br)[nH]c3c2[nH]1	-0.7048	-5.4318	4.613	0.0116	Brc1cccc2nc3c(Br)cccc3nc12	-3.1196	-7.0206	2.905	0.0054	O=c1[nH]c(Br)c2c(=O)[nH]c(Br)c12	-2.5304	-6.9624	3.338	0.4055	O=C1NC(c2cccc3nc4c(-c5cc6[nH]c7cc[nH]c7c6[nH]5)cccc4nc23)=C2C(=O)NC(c3cccc4nc5c(-c6cc7[nH]c8cc[nH]c8c7[nH]6)cccc5nc34)=C12	4.8799	-5.188092294899902	1.0492264723054203	0.7074002747001105
27227	-3.6182	-5.1255	2.204				-4.879853146442435	-2.7765834107291925	2.1100756694565583	Brc1cc2[nH]c3cc(Br)[nH]c3c2[nH]1	-0.7048	-5.4318	4.613	0.0116	Brc1c2cccnc2c(Br)c2cccnc12	-2.7171	-6.8831	3.687	0.1753	O=c1[nH]c(Br)c2c(=O)[nH]c(Br)c12	-2.5304	-6.9624	3.338	0.4055	O=C1NC(c2c3cccnc3c(-c3cc4[nH]c5cc[nH]c5c4[nH]3)c3cccnc23)=C2C(=O)NC(c3c4cccnc4c(-c4cc5[nH]c6cc[nH]c6c5[nH]4)c4cccnc34)=C12	4.8799	-5.188092294899902	1.0492264723054203	0.6798552135701121
27194	-3.6356	-5.0677	2.1				-4.831753413071762	-2.79187429594563	1.9741965046080632	Brc1cc2[nH]c3cc(Br)[nH]c3c2[nH]1	-0.7048	-5.4318	4.613	0.0116	Brc1oc(Br)c2ncncc12	-2.0534	-7.3592	3.451	0.1289	O=c1[nH]c(Br)c2c(=O)[nH]c(Br)c12	-2.5304	-6.9624	3.338	0.4055	O=C1NC(c2oc(-c3cc4[nH]c5cc[nH]c5c4[nH]3)c3ncncc23)=C2C(=O)NC(c3oc(-c4cc5[nH]c6cc[nH]c6c5[nH]4)c4ncncc34)=C12	4.8799	-5.188092294899902	1.0492264723054203	0.6317553787267942
27289	-4.5356	-5.7496	2.215				-5.399213762301224	-3.5827821519682597	2.1244475042001487	Brc1cc2[nH]c3cc(Br)[nH]c3c2[nH]1	-0.7048	-5.4318	4.613	0.0116	Cn1c(=O)c2cc(Br)c3c(=O)n(C)c(=O)c4cc(Br)c(c1=O)c2c43	-4.1024	-8.0749	3.525	0.0473	O=c1[nH]c(Br)c2c(=O)[nH]c(Br)c12	-2.5304	-6.9624	3.338	0.4055	Cn1c(=O)c2cc(-c3cc4[nH]c5cc[nH]c5c4[nH]3)c3c(=O)n(C)c(=O)c4cc(C5=C6C(=O)NC(c7cc8c(=O)n(C)c(=O)c9c(-c%10cc%11[nH]c%12cc[nH]c%12c%11[nH]%10)cc%10c(=O)n(C)c(=O)c7c%10c89)=C6C(=O)N5)c(c1=O)c2c43	4.8799	-5.188092294899902	1.0492264723054203	1.1992169250876819
27212	-3.559	-5.1419	2.249				-4.893500821654875	-2.724559249533037	2.168869538862157	Brc1cc2[nH]c3cc(Br)[nH]c3c2[nH]1	-0.7048	-5.4318	4.613	0.0116	Brc1oc(Br)c2cnncc12	-1.7504	-7.4284	3.8139999999999996	0.1315	O=c1[nH]c(Br)c2c(=O)[nH]c(Br)c12	-2.5304	-6.9624	3.338	0.4055	O=C1NC(c2oc(-c3cc4[nH]c5cc[nH]c5c4[nH]3)c3cnncc23)=C2C(=O)NC(c3oc(-c4cc5[nH]c6cc[nH]c6c5[nH]4)c4cnncc34)=C12	4.8799	-5.188092294899902	1.0492264723054203	0.6935029175740988
